station_no,name_tw,parking_spaces,lat,lng
500101154,敦化市民路口,23,25.04405,121.5486
500101155,捷運大安森林公園站(5號出口),15,25.03336,121.5364
500101156,信義建國路口,52,25.0328,121.53746
500101157,東豐公園,19,25.03569,121.5451
500101158,德安公園(四維路66巷),14,25.03473,121.54767
500101159,捷運忠孝復興站(5號出口),41,25.04262,121.54443
500101160,捷運忠孝敦化站(2號出口),17,25.04153,121.5524
500101161,捷運忠孝敦化站(7號出口),18,25.04159,121.54937
500101163,瑞安街208巷,15,25.02979,121.54053
500101165,樂利路21巷口,17,25.0277,121.55132
500101166,捷運科技大樓站(台北教育大學),54,25.02469,121.54459
500101167,捷運國父紀念館站(2號出口),45,25.04122,121.55745
500101168,仁愛醫院,36,25.03756,121.54587
500101169,捷運信義安和站(4號出口),30,25.03305,121.55378
500101170,成功國宅,36,25.02681,121.54668
500101171,仁愛延吉街口,33,25.03748,121.55564
500101172,捷運信義安和站(1號出口),33,25.03331,121.55265
500101173,敦化南路二段103巷口,24,25.0287,121.54904
500101174,復興南路二段128巷口,37,25.02861,121.54336
500101175,和平東建國南路口,17,25.02575,121.5377
500101176,芳蘭山莊,16,25.01223,121.54788
500101177,復興南路一段126巷口,15,25.04311,121.54313
500101179,捷運東門站(5號出口),28,25.03363,121.52962
500101180,仁愛路四段48巷口,11,25.03609,121.54709
500101181,捷運公館站(3號出口),90,25.01551,121.53374
500101182,臺北科技大學(電機工程系),16,25.04196,121.53653
500101183,忠孝東路三段217巷口,34,25.04176,121.54027
500101184,新生南路三段94巷口,15,25.01744,121.53334
500101185,辛亥新生路口西北側,12,25.02267,121.5341
500101186,捷運大安站(6號出口),19,25.03479,121.54376
500101187,臥龍街195巷口,14,25.01783,121.55224
500101188,辛亥路三段157巷口,19,25.01727,121.54904
500101189,臥龍基隆路口,16,25.02039,121.54853
500101190,敦親公園,26,25.02347,121.54108
500101191,大安運動中心,33,25.02054,121.54561
500101192,和平敦化路口,36,25.02444,121.54908
500101193,基隆長興路口,43,25.01705,121.54435
500101194,仁愛路四段122巷口,16,25.03762,121.55009
500101196,市民敦化路口,15,25.04464,121.54944
500101197,忠孝東路四段49巷口,15,25.04172,121.54541
500101198,市民復興路口(東南側),16,25.04472,121.54401
500101199,和平新生路口西南側,13,25.02598,121.53454
500101200,全安公園,16,25.02535,121.55101
500101201,信義路三段134巷口,19,25.03333,121.53968
500101202,仁愛敦南圓環(東南側),16,25.03715,121.54936
500101203,臺北遠企購物中心,33,25.02709,121.54902
500101204,外交部外交及國際事務學院,17,25.0371,121.54839
500101205,四維路170巷口,22,25.02821,121.54864
500101206,捷運大安站(3號出口),46,25.03328,121.5425
500101207,捷運臺電大樓站(2號出口)_1,35,25.02055,121.52855
500101208,信義路四段199巷,15,25.03459,121.55164
500101209,臺大資訊大樓,40,25.02101,121.54153
500101210,敦化南路二段81巷,40,25.03002,121.54893
500101211,原臺北刑務所官舍,23,25.03054,121.52466
500101212,捷運國父紀念館站(1號出口),25,25.04205,121.55657
500101213,懷生國中,15,25.0401,121.54122
500101214,仁愛敦南圓環(西北側),20,25.03827,121.54802
500101215,立人國小,17,25.02974,121.55146
500101216,和平東路二段18巷口,24,25.02268,121.53608
500101217,捷運大安站(5號出口),26,25.03303,121.54372
500101218,臨江公園,23,25.02832,121.55592
500101219,羅斯福路四段113巷19弄口,14,25.01027,121.53998
500101221,忠孝東路四段248巷口,15,25.04132,121.55393
500101222,仁愛延吉路口(西北側),18,25.03795,121.55466
500101223,樂利路101巷口,13,25.02528,121.55224
500101224,羅斯福浦城街口,15,25.02208,121.52678
500101225,敦化南路一段295巷口,18,25.03551,121.54951
500101226,通安區民活動中心,19,25.02942,121.55294
500101227,復興忠孝東路口(東南側),28,25.04061,121.54389
500101228,仁愛大安路口(東北側),21,25.03813,121.54631
500101229,臺灣師範大學(浦城街),15,25.02476,121.52803
500101230,安和路二段69巷口,20,25.03056,121.55252
500101231,大安國小,25,25.02014,121.55084
500103001,延平國宅,30,25.07894,121.51121
500103002,臺北市立圖書館大同分館,20,25.0741,121.51349
500103003,合昌宮,15,25.07717,121.50934
500103004,民族延平路口,29,25.06864,121.5107
500103005,重慶酒泉街口,44,25.07158,121.51368
500103006,樹德公園,14,25.06647,121.5165
500103007,陳天來故居,18,25.05601,121.50895
500103008,臺北孔廟,37,25.07378,121.51583
500103009,捷運圓山站(1號出口),44,25.07133,121.52024
500103010,酒泉延平路口,26,25.0722,121.51057
500103011,重慶國中,49,25.07567,121.51862
500103012,重慶北路三段383巷口,25,25.07598,121.51409
500103013,台北數位產業園區,24,25.07447,121.52003
500103019,民權延平路口(西北側),20,25.06326,121.51099
500103020,民權迪化街口,46,25.06327,121.50943
500103021,大稻埕公園,35,25.05915,121.51033
500103022,大龍老人住宅,14,25.06853,121.51729
