站點編號,2月20日見車率,3月22日見車率,對應站名,消長幅度,色票,分類,lat,lng
500101098,100.00%,100.00%,臥龍公園,0.00%,#FEB700,100%,25.01623,121.55037
500101099,89.17%,85.37%,嘉興公園,-3.80%,#FBB1BD,-5%以內,25.021,121.55211
500101100,79.72%,100.00%,捷運麟光站(2號出口),20.28%,#FEB700,100%,25.0181,121.55929
500101101,88.43%,100.00%,捷運六張犁站,11.57%,#FEB700,100%,25.02397,121.55266
500101102,92.31%,94.81%,喬治工商,2.50%,#FEDD88,90%以上、未滿100%,25.02705,121.55551
500101103,72.04%,75.46%,法治公園,3.43%,#F0D5BE,+5%以內,25.02694,121.55325
500101104,76.85%,75.83%,捷運臺電大樓站(2號出口),-1.02%,#FBB1BD,-5%以內,25.02021,121.52942
500101105,97.22%,88.61%,和平金山路口,-8.61%,#D7586D,-5%至-10%,25.02669,121.52529
500101107,97.69%,92.04%,和平龍泉街口,-5.65%,#FEDD88,90%以上、未滿100%,25.02638,121.52971
500101108,86.57%,82.87%,和平泰順街口,-3.70%,#FBB1BD,-5%以內,25.02621,121.53171
500101109,97.04%,94.35%,臺灣師範大學(圖書館),-2.69%,#FEDD88,90%以上、未滿100%,25.0266,121.52973
500101110,79.26%,78.80%,捷運古亭站(6號出口),-0.46%,#FBB1BD,-5%以內,25.0276,121.52217
500101111,72.41%,73.89%,捷運古亭站(5號出口),1.48%,#F0D5BE,+5%以內,25.02715,121.52293
500101113,93.70%,88.24%,臺北市立圖書館(總館),-5.46%,#D7586D,-5%至-10%,25.02895,121.5379
500101114,83.61%,87.59%,新生和平路口東北側,3.98%,#F0D5BE,+5%以內,25.02657,121.53515
500101115,90.65%,98.52%,建國和平路口西北側,7.87%,#FEDD88,90%以上、未滿100%,25.02606,121.53738
500101117,78.70%,86.48%,捷運東門站(3號出口),7.78%,#E3BE98,+5%至10%,25.03383,121.52815
500101118,67.50%,67.87%,金甌女中,0.37%,#F0D5BE,+5%以內,25.03519,121.5245
500101119,85.28%,97.13%,金杭公園,11.85%,#FEDD88,90%以上、未滿100%,25.03325,121.52436
500101120,88.43%,89.63%,愛國金山路口,1.20%,#F0D5BE,+5%以內,25.03164,121.52661
500101122,48.24%,66.11%,敦化南路二段293巷口南側,17.87%,#C09662,+10%以上,25.0237,121.54899
500101123,83.98%,92.87%,敦化基隆路口,8.89%,#FEDD88,90%以上、未滿100%,25.02215,121.54839
500101124,82.31%,93.89%,安和路二段181巷口,11.57%,#FEDD88,90%以上、未滿100%,25.02721,121.54988
500101125,84.44%,86.39%,臨江街夜市(通化街101巷口),1.94%,#F0D5BE,+5%以內,25.02952,121.55406
500101126,82.69%,85.93%,臨江街夜市(基隆路),3.24%,#F0D5BE,+5%以內,25.02931,121.55721
500101128,98.52%,99.72%,新生南路一段119巷口,1.20%,#FEDD88,90%以上、未滿100%,25.04003,121.53299
500101129,88.52%,96.20%,幸安國小(仁愛路),7.69%,#FEDD88,90%以上、未滿100%,25.03753,121.53523
500101130,87.31%,88.33%,民榮公園,1.02%,#F0D5BE,+5%以內,25.03534,121.5354
500101131,91.85%,96.30%,復興南路1段340巷口,4.44%,#FEDD88,90%以上、未滿100%,25.03701,121.54348
500101132,89.07%,88.15%,建國濟南路口,-0.93%,#FBB1BD,-5%以內,25.03935,121.53828
500101133,93.98%,99.54%,捷運忠孝復興站(2號出口),5.56%,#FEDD88,90%以上、未滿100%,25.04035,121.5436
500101134,72.59%,69.44%,捷運大安站(4號出口),-3.15%,#FBB1BD,-5%以內,25.0332,121.5439
500101135,88.24%,86.76%,捷運大安站(2號出口),-1.48%,#FBB1BD,-5%以內,25.03358,121.54141
500101136,69.35%,82.87%,信義大安路口(信維大樓),13.52%,#C09662,+10%以上,25.03317,121.54639
500101137,100.00%,100.00%,龍門廣場,0.00%,#FEB700,100%,25.04092,121.54825
500101138,83.43%,93.06%,仁愛安和路口,9.63%,#FEDD88,90%以上、未滿100%,25.03754,121.55285
500101139,86.94%,95.00%,信義敦化路口,8.06%,#FEDD88,90%以上、未滿100%,25.03333,121.54977
500101140,77.31%,88.43%,仁愛國中,11.11%,#C09662,+10%以上,25.03706,121.55166
500101141,74.26%,83.24%,捷運信義安和站(2號出口),8.98%,#E3BE98,+5%至10%,25.03304,121.55171
500101142,97.13%,100.00%,八德市場,2.87%,#FEB700,100%,25.04463,121.53665
500101143,94.35%,93.61%,昌隆公園,-0.74%,#FEDD88,90%以上、未滿100%,25.04448,121.53946
500101144,76.85%,88.33%,捷運大安森林公園站(2號出口),11.48%,#C09662,+10%以上,25.03332,121.53435
500101145,90.74%,99.91%,信義延吉街口,9.17%,#FEDD88,90%以上、未滿100%,25.03318,121.55725
500101146,90.83%,89.07%,光信公園(光復南路456巷),-1.76%,#FBB1BD,-5%以內,25.03513,121.5561
500101147,70.93%,81.67%,僑安地下停車場(2號出口)東南側,10.74%,#C09662,+10%以上,25.0391,121.5569
500101148,100.00%,86.94%,建國南路一段279巷口,-13.06%,#B1112B,-10%以上,25.03635,121.53833
500101149,73.24%,70.65%,捷運忠孝新生站(6號出口),-2.59%,#FBB1BD,-5%以內,25.04091,121.53295
500101150,89.44%,90.00%,捷運忠孝新生站(4號出口),0.56%,#F0D5BE,+5%以內,25.04239,121.53324
500101151,89.63%,85.28%,大安高工,-4.35%,#FBB1BD,-5%以內,25.03126,121.54339
500101152,81.67%,78.61%,捷運忠孝新生站(3號出口),-3.06%,#FBB1BD,-5%以內,25.04189,121.53376
500101153,94.81%,92.22%,瑠公公園,-2.59%,#FEDD88,90%以上、未滿100%,25.04201,121.54612
500101154,95.19%,100.00%,敦化市民路口,4.81%,#FEB700,100%,25.04405,121.5486
500101155,78.43%,80.19%,捷運大安森林公園站(5號出口),1.76%,#F0D5BE,+5%以內,25.03336,121.5364
500101156,73.33%,79.26%,信義建國路口,5.93%,#E3BE98,+5%至10%,25.0328,121.53746
500101157,92.59%,100.00%,東豐公園,7.41%,#FEB700,100%,25.03569,121.5451
500101158,95.56%,100.00%,德安公園(四維路66巷),4.44%,#FEB700,100%,25.03473,121.54767
500101160,94.63%,85.00%,捷運忠孝敦化站(2號出口),-9.63%,#D7586D,-5%至-10%,25.04153,121.5524
500101161,88.98%,89.81%,捷運忠孝敦化站(7號出口),0.83%,#F0D5BE,+5%以內,25.04159,121.54937
500101163,78.61%,78.52%,瑞安街208巷,-0.09%,#FBB1BD,-5%以內,25.02979,121.54053
500101165,100.00%,92.41%,樂利路21巷口,-7.59%,#FEDD88,90%以上、未滿100%,25.0277,121.55132
500101166,79.44%,78.98%,捷運科技大樓站(台北教育大學),-0.46%,#FBB1BD,-5%以內,25.02469,121.54459
500101167,85.46%,96.85%,捷運國父紀念館站(2號出口),11.39%,#FEDD88,90%以上、未滿100%,25.04122,121.55745
500101168,80.00%,98.06%,仁愛醫院,18.06%,#FEDD88,90%以上、未滿100%,25.03756,121.54587
500101169,89.26%,82.41%,捷運信義安和站(4號出口),-6.85%,#D7586D,-5%至-10%,25.03305,121.55378
500101170,90.37%,92.13%,成功國宅,1.76%,#FEDD88,90%以上、未滿100%,25.02681,121.54668
500101171,81.20%,92.96%,仁愛延吉街口,11.76%,#FEDD88,90%以上、未滿100%,25.03748,121.55564
500101172,81.02%,87.78%,捷運信義安和站(1號出口),6.76%,#E3BE98,+5%至10%,25.03331,121.55265
500101173,81.20%,82.50%,敦化南路二段103巷口,1.30%,#F0D5BE,+5%以內,25.0287,121.54904
500101174,100.00%,94.81%,復興南路二段128巷口,-5.19%,#FEDD88,90%以上、未滿100%,25.02861,121.54336
500101175,92.59%,86.67%,和平東建國南路口,-5.93%,#D7586D,-5%至-10%,25.02575,121.5377
500101176,100.00%,99.44%,芳蘭山莊,-0.56%,#FEDD88,90%以上、未滿100%,25.01223,121.54788
